experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,1,250426,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22552650000.0,12165150000.0,190,148,29,1071000000.0,0.0,90000000.0,81000000.0,43110000.0,22552650.0,21234208.37887535,21234208.37887535,5.586206896551724,29,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,2,250427,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22622900000.0,12235400000.0,147,229,41,1692000000.0,0.0,90000000.0,18000000.0,49824000.0,22622900.0,22139993.464091178,22139993.464091178,6.511450381679389,34,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,3,250428,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22613500000.0,12226000000.0,167,169,30,1251000000.0,0.0,90000000.0,9000000.0,45288000.0,22613500.0,21511702.460521344,21511702.460521344,5.744827586206896,30,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,4,250429,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22622500000.0,12235000000.0,173,142,32,990000000.0,0.0,90000000.0,45000000.0,43677000.0,22622500.0,22050245.321764562,22050245.321764562,5.703448275862069,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,5,250430,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22589450000.0,12201950000.0,154,217,36,1629000000.0,0.0,90000000.0,18000000.0,48861000.0,22589450.0,21805530.403947987,21805530.403947987,6.409090909090909,29,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,6,250431,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22604500000.0,12217000000.0,166,165,31,1206000000.0,0.0,90000000.0,45000000.0,45243000.0,22604500.0,21626245.738685206,21626245.738685206,5.712328767123288,44,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,7,250432,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22547137500.0,12159637500.0,157,213,27,1674000000.0,0.0,90000000.0,90000000.0,47961000.0,22547137.5,20697219.969414823,20697219.969414823,6.021428571428571,52,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,8,250433,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22550900000.0,12163400000.0,151,195,28,1503000000.0,0.0,90000000.0,63000000.0,47088000.0,22550900.0,21384373.364445355,21384373.364445355,6.197080291970803,32,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,9,250434,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22635400000.0,12247900000.0,181,170,30,1260000000.0,0.0,90000000.0,36000000.0,44073000.0,22635400.0,21041352.305400904,21041352.305400904,5.533783783783784,25,10
h2_jackpot_cap,cap_90m,90 mil. €,Nižší strop jackpotu 90 mil. €.,10,250435,1000,25000000,0.5,90000000.0,50000000000.0,25000000000.0,22606650000.0,12219150000.0,156,229,32,1773000000.0,0.0,90000000.0,27000000.0,49752000.0,22606650.0,21325761.493496545,21325761.493496545,6.752,36,10
