experiment,scenario,label_cs,description,repetition,seed,draws,tickets_sold_per_draw,prize_pool_share,jackpot_cap,jackpot_share,class11_share,class12_share,total_ticket_sales,total_prize_pool,total_actual_payout,total_actual_upper_tier_payout,jackpot_hits,jackpot_cap_hits,cap_reach_count,total_overflow_to_class2,total_overflow_to_class3,max_jackpot_fund_observed,final_jackpot_carryover,average_jackpot_available,average_total_payout,payout_std_dev,upper_tier_payout_std_dev,average_rollover_length,longest_rollover_length,average_time_to_cap
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,1,350426,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8878600000.0,4723600000.0,71,19,4,63600000.0,0.0,120000000.0,10800000.0,41364000.0,8878600.0,16125748.895477692,16125748.895477692,13.46376811594203,44,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,2,350427,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8785615000.0,4630615000.0,78,53,5,184800000.0,0.0,120000000.0,32400000.0,41302800.0,8785615.0,15077339.085421372,15077339.085421372,12.805555555555555,51,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,3,350428,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8756645000.0,4601645000.0,63,163,7,578400000.0,0.0,120000000.0,18000000.0,53478000.0,8756645.0,15064063.555992287,15064063.555992287,15.360655737704919,94,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,4,350429,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8777875000.0,4622875000.0,64,73,7,254400000.0,0.0,120000000.0,43200000.0,46803600.0,8777875.0,15849545.690945687,15849545.690945687,15.096774193548388,61,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,5,350430,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8729595000.0,4574595000.0,66,106,7,373200000.0,0.0,120000000.0,57600000.0,49291200.0,8729595.0,15530770.697585326,15530770.697585326,16.103448275862068,74,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,6,350431,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8810630000.0,4655630000.0,63,59,5,206400000.0,0.0,120000000.0,0.0,45244800.0,8810630.0,15970673.087039882,15970673.087039882,15.616666666666667,64,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,7,350432,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8648860000.0,4493860000.0,79,86,6,302400000.0,0.0,120000000.0,120000000.0,45826800.0,8648860.0,14898670.561509842,14898670.561509842,12.971830985915492,69,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,8,350433,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8759715000.0,4604715000.0,72,41,4,142800000.0,0.0,120000000.0,100800000.0,43273200.0,8759715.0,15680078.282450473,15680078.282450473,13.44927536231884,46,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,9,350434,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8826045000.0,4671045000.0,58,55,9,187200000.0,0.0,120000000.0,3600000.0,46815600.0,8826045.0,16449993.04963303,16449993.04963303,16.24137931034483,47,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,10,350435,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8791730000.0,4636730000.0,66,61,7,211200000.0,0.0,120000000.0,46800000.0,45871200.0,8791730.0,15972341.361149905,15972341.361149905,14.825396825396826,71,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,11,350436,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8848205000.0,4693205000.0,77,47,4,164400000.0,0.0,120000000.0,0.0,42438000.0,8848205.0,15599035.62573581,15599035.62573581,14.2,53,34
h3_prize_structure,structure_standard,Standardní,Oficiální rozdělení fondu mezi výherní třídy.,12,350437,1000,10000000,0.5,120000000.0,0.36,0.0675,0.203,20000000000.0,10000000000.0,8759175000.0,4604175000.0,81,90,6,316800000.0,0.0,120000000.0,36000000.0,45064800.0,8759175.0,15013982.377916094,15013982.377916094,12.58904109589041,72,34
